id,name,age,nationality,jersey_number,foot,pos,captain,T_id,appearances,substitutions,goals,penalties,yellow_cards,red_cards
1,Bukayo Saka,19,England,7,Left,RM,0,1,40,3,12,2,6,0
2,Gabriel Magalhaes,23,Brazil,6,Left,CB,0,1,37,1,5,0,7,1
3,Aaron Ramsdale,23,England,32,Right,GK,0,1,37,0,0,0,1,0
4,Ben White,23,England,4,Right,CB,0,1,37,0,0,0,3,0
5,Martin Odegaard,22,Norway,8,Left,CAM,0,1,36,4,7,0,4,0
6,Granit Xhaka,28,Switzerland,34,Left,CDM,0,1,29,1,1,0,10,2
7,Gabriel Martinelli,20,Brazil,35,Right,LM,0,1,26,10,6,1,2,1
8,Thomas Partey,28,Ghana,5,Right,CM,0,1,24,2,2,0,6,1
9,Emile Smith Rowe,20,England,10,Right,CAM,0,1,24,12,11,0,1,0
10,Kieran Tierney,24,Scotland,3,Left,LB,0,1,24,1,1,0,0,0
11,Alexandre Lacazette,30,France,9,Right,ST,1,1,23,13,6,3,1,0
12,Cédric Soares,29,Portugal,17,Right,RB,0,1,21,5,1,0,4,0
13,Takehiro Tomiyasu,22,Japan,18,Right,CB,0,1,21,1,0,0,3,0
14,Nuno Tavares,21,Portugal,20,Left,LB,0,1,17,11,1,0,2,0
15,Albert Sambi Lokonga,21,Belgium,23,Right,CM,0,1,16,8,0,0,5,0
16,Rob Holding,25,England,16,Right,CB,0,1,14,7,1,0,3,1
17,Pierre-Emerick Aubameyang,32,Gabon,14,Right,ST,0,1,13,2,7,0,3,0
18,Eddie Nketiah,22,England,30,Right,ST,0,1,13,14,10,0,3,0
19,Mohamed El Neny,28,Egypt,25,Right,CDM,0,1,11,6,0,0,1,0
20,Bernd Leno,29,Germany,1,Right,GK,0,1,8,0,0,0,0,0
21,Nicolas Pépé,26,Côte d'Ivoire,19,Left,RM,0,1,8,15,3,0,0,0
22,Ainsley Maitland-Niles,23,England,15,Right,CDM,0,1,4,7,0,0,0,0
23,Calum Chambers,26,England,21,Right,RB,0,1,3,2,1,0,0,0
24,Sead Kolašinac,28,Bosnia and Herzegovina,31,Left,LB,0,1,3,2,0,0,2,0
25,Pablo Marí,27,Spain,22,Left,CB,0,1,3,0,0,0,1,0
26,Folarin Balogun,19,England,26,Right,ST,0,1,2,2,0,0,1,0
27,Charlie Patino,26,Belgium,87,Right,RB,0,1,1,1,1,0,0,0
28,Reiss Nelson,26,France,24,Right,LW,0,1,0,1,0,0,0,0
29,Cameron Archer,19,England,35,Right,ST,0,2,2,3,4,0,0,0
30,Leon Bailey,23,Jamaica,31,Left,RM,0,2,7,11,1,0,3,0
31,Emi Buendia,24,Argentina,10,Right,RM,0,2,24,13,4,0,1,0
32,Matty Cash,23,England,2,Right,RB,0,2,40,0,4,0,8,0
33,Calum Chambers,23,England,16,Right,CB,0,2,9,2,1,0,1,0
34,Caleb Chukwuemeka,19,England,46,Right,ST,0,2,0,1,0,0,0,0
35,Carney Chukwuemeka,17,England,33,Right,CAM,0,2,3,11,0,0,0,0
36,Philippe Coutinho,26,Northern Ireland,23,Right,LM,0,2,16,3,5,0,0,0
37,Keinan Davis,23,England,39,Left,ST,0,2,0,1,0,0,0,0
38,Lucas Digne,24,Germany,27,Right,CB,0,2,16,0,0,0,2,0
39,Douglas Luiz,23,Brazil,6,Right,CDM,0,2,32,3,2,0,7,0
40,Anwar El Ghazi,26,Netherlands,21,Right,LM,0,2,6,6,3,2,2,0
41,Frederic Guilbert,23,Portugal,24,Left,CAM,0,2,1,0,1,0,0,0
42,Kortney Hause,25,England,30,Left,CB,0,2,6,3,1,0,0,0
43,Conor Hourihane,26,Belgium,14,Right,RB,0,2,1,0,0,0,0,0
44,Danny Ings,28,England,20,Right,ST,0,2,23,8,7,1,4,0
45,Tim Iroegbunam,26,France,47,Right,LW,0,2,1,2,0,0,1,0
46,Ezri Konsa,23,England,4,Right,CB,0,2,30,1,2,0,4,2
47,Hayden Lindley,18,England,49,Right,CDM,0,2,0,1,0,0,0,0
48,Emiliano Martínez,28,Argentina,1,Right,GK,0,2,37,0,0,0,4,0
49,John McGinn,26,Scotland,7,Left,CDM,0,2,36,0,3,0,8,0
50,Tyrone Mings,28,England,5,Left,CB,1,2,36,1,1,0,11,0
51,Marvelous Nakamba,27,Zimbabwe,19,Left,CDM,0,2,12,6,0,0,6,0
52,Robin Olsen,26,France,25,Right,LW,0,2,1,0,0,0,0,0
53,Jaden Philogene-Bidace,19,England,32,Right,RW,0,2,1,3,0,0,0,0
54,Aaron Ramsey,19,England,40,Right,CAM,0,2,0,1,0,0,0,0
55,Jacob Ramsey,20,England,41,Right,CAM,0,2,30,5,6,0,7,0
56,Morgan Sanson,26,France,8,Right,CM,0,2,4,7,0,0,0,0
57,Jed Steer,28,England,12,Left,GK,0,2,3,0,0,0,0,0
58,Matt Targett,25,England,3,Left,LB,0,2,19,0,1,0,2,0
59,Bertrand Traoré,25,Burkina Faso,15,Left,RM,0,2,2,8,0,0,0,0
60,Trézéguet,26,Egypt,17,Right,RM,0,2,0,1,0,0,0,0
61,Axel Tuanzebe,23,England,16,Right,CB,0,2,8,3,0,0,1,0
62,Ollie Watkins,25,England,11,Right,ST,0,2,34,2,11,1,7,0
63,Wesley,26,Ecuador,9,Right,RM,0,2,0,1,0,0,0,0
64,Ashley Young,35,England,18,Right,LWB,0,2,11,14,0,0,3,0
65,Pontus Jansson,30,Sweden,18,Right,CB,1,3,39,0,3,0,7,0
66,Christian Norgaard,27,Denmark,6,Right,CDM,0,3,36,2,3,0,8,0
67,Rico Henry,23,England,3,Left,LB,0,3,35,2,3,0,2,0
68,Bryan Mbeumo,21,France,19,Left,RW,0,3,35,3,8,2,4,0
69,Ethan Pinnock,28,Jamaica,5,Left,CB,0,3,35,0,1,0,1,0
70,Ivan Toney,25,England,17,Right,ST,0,3,34,3,14,6,8,0
71,Vitaly Janelt,23,Germany,27,Left,CDM,0,3,31,4,4,0,4,0
72,Sergi Canos,24,Spain,7,Right,LW,0,3,28,7,4,0,7,1
73,Kristoffer Ajer,23,Norway,20,Right,CB,0,3,26,2,1,0,5,0
74,David Raya,25,Spain,1,Right,GK,0,3,25,0,0,0,1,0
75,Mathias Jensen,25,Denmark,8,Right,CM,0,3,23,12,0,0,0,0
76,Alvaro Fernández,23,Spain,40,Left,GK,0,3,16,0,0,0,0,0
77,Mads Roerslev Rasmussen,22,Denmark,30,Right,RWB,0,3,16,10,1,0,2,0
78,Yoane Wissa,24,Congo DR,11,Right,LM,0,3,16,18,10,0,0,0
79,Mads Bech Sørensen,22,Denmark,29,Left,CB,0,3,13,2,0,0,3,0
80,Frank Onyeka,23,Nigeria,15,Right,CDM,0,3,13,11,0,0,4,0
81,Shandon Baptiste,23,Grenada,26,Right,CM,0,3,10,15,1,0,0,1
82,Christian Eriksen,26,Belgium,21,Right,RB,0,3,10,1,1,0,1,0
83,Saman Ghoddos,27,Iran,14,Right,CAM,0,3,8,15,1,0,3,0
84,Mathias Jorgensen,31,Denmark,22,Right,CB,0,3,8,2,1,0,2,0
85,Charlie Goode,25,England,4,Right,CB,0,3,6,2,0,0,3,0
86,Marcus Forss,22,Finland,9,Right,ST,0,3,5,7,6,1,0,0
87,Dominic Thompson,20,England,2,Left,LB,0,3,5,0,0,0,0,0
88,Mads Bidstrup,20,Denmark,28,Right,CDM,0,3,3,5,0,0,0,0
89,Jonas Lössl,24,Germany,49,Right,CB,0,3,3,0,0,0,0,0
90,Josh Dasilva,22,England,10,Left,CM,0,3,2,8,0,0,0,1
91,Tariqe Fosu-Henry,25,Ghana,24,Right,LW,0,3,1,2,0,0,0,0
92,Halil Dervişoğlu,23,Portugal,21,Left,CAM,0,3,1,0,0,0,0,0
93,Fin Stevens,18,Wales,36,Right,RB,0,3,1,3,0,0,0,0
94,Myles Peart-Harris,18,England,25,Right,CAM,0,3,0,2,0,0,0,0
95,Nathan Young-Coombes,26,Northern Ireland,43,Right,LM,0,3,0,1,0,0,0,0
96,Steven Alzate,26,France,17,Right,LW,0,4,8,4,0,0,0,0
97,Yves Bissouma,26,Ecuador,8,Right,RM,0,4,26,2,2,0,10,0
98,Dan Burn,26,Belgium,33,Right,RB,0,4,15,1,1,0,4,0
99,Moisés Caicedo,26,Northern Ireland,25,Right,LM,0,4,9,1,1,0,2,0
100,Aaron Connolly,22,Ireland,7,Right,CF,0,4,3,3,2,0,0,0
101,Marc Cucurella,24,Germany,3,Right,CB,0,4,36,2,1,0,6,0
102,Shane Duffy,26,France,24,Right,LW,0,4,17,3,1,0,7,0
103,Lewis Dunk,24,Germany,5,Right,CB,1,4,30,1,1,0,3,1
104,Evan Ferguson,23,Portugal,58,Left,CAM,0,4,0,4,0,0,0,0
105,Pascal Gross,26,Northern Ireland,13,Right,LM,0,4,27,6,2,0,1,0
106,Michał Karbownik,27,Israel,6,Right,CM,0,4,1,0,0,0,0,0
107,Adam Lallana,34,England,14,Right,CAM,0,4,19,6,0,0,4,0
108,Tariq Lamptey,26,France,2,Right,LW,0,4,18,14,0,0,4,0
109,Marc Leonard,24,Germany,42,Right,CB,0,4,2,0,0,0,0,0
110,Jürgen Locadia,24,Germany,27,Right,CB,0,4,1,2,0,0,0,0
111,Alexis Mac Allister,23,Argentina,10,Right,CM,0,4,24,12,5,2,4,0
112,Solly March,26,France,20,Right,LW,0,4,19,14,0,0,1,0
113,Neal Maupay,26,Northern Ireland,9,Right,LM,0,4,27,8,9,1,7,0
114,Jakub Moder,24,Germany,15,Right,CB,0,4,22,10,2,0,1,0
115,Andy Moran,24,Spain,59,Right,RB,0,4,0,1,0,0,0,0
116,Enock Mwepu,23,Portugal,12,Left,CAM,0,4,14,7,3,0,2,0
117,Odel Offiah,26,Northern Ireland,57,Right,LM,0,4,1,1,0,0,0,0
118,Taylor Richards,26,France,30,Right,LW,0,4,2,2,0,0,0,0
119,Haydon Roberts,23,Portugal,28,Left,CAM,0,4,3,0,0,0,0,0
120,Robert Sánchez,26,France,1,Right,LW,0,4,38,0,0,0,3,1
121,Jeremy Sarmiento,24,Germany,60,Right,CB,0,4,2,5,0,0,0,0
122,Kjell Scherpen,24,Germany,16,Right,CB,0,4,1,0,0,0,0,0
123,Jason Steele,24,Germany,23,Right,CB,0,4,4,0,0,0,0,0
124,Leandro Trossard,24,Germany,11,Right,CB,0,4,32,3,8,1,2,0
125,Antef Tsoungui,24,Spain,53,Right,RB,0,4,1,0,0,0,0,0
126,Ed Turns,23,Portugal,55,Left,CAM,0,4,1,0,0,0,0,0
127,Joël Veltman,24,Germany,34,Right,CB,0,4,35,2,1,0,7,0
128,Adam Webster,27,England,4,Right,CB,0,4,18,6,3,0,5,0
129,Danny Welbeck,31,Spain,18,Right,ST,0,4,16,11,6,0,0,0
130,Andi Zeqiri,24,Spain,19,Right,RB,0,4,1,0,1,0,0,0
131,Phil Bardsley,36,Scotland,26,Right,RB,0,5,3,0,0,0,0,0
132,Ashley Barnes,31,England,10,Right,ST,0,5,8,17,1,1,4,0
133,Josh Brownhill,25,England,8,Right,CM,0,5,35,3,2,0,10,0
134,Nathan Collins,20,Republic of Ireland,22,Right,CB,0,5,21,1,2,0,3,1
135,Jack Cork,32,England,4,Right,CDM,0,5,23,1,1,0,4,0
136,Maxwel Cornet,24,Côte d'Ivoire,20,Left,LB,0,5,22,6,9,0,2,0
137,Owen Dodgson,18,England,39,Left,LB,0,5,0,1,0,0,0,0
138,Jóhann Berg Gudmundsson,30,Iceland,7,Left,RM,0,5,14,5,0,0,2,0
139,Wayne Hennessey,34,Wales,13,Right,GK,0,5,3,0,0,0,0,0
140,Aaron Lennon,34,England,17,Right,RM,0,5,20,12,2,0,2,0
141,Kevin Long,30,Republic of Ireland,28,Right,CB,0,5,4,2,0,0,1,0
142,Matthew Lowton,32,England,2,Right,RB,0,5,21,6,1,0,3,1
143,Dwight McNeil,21,England,11,Left,LM,0,5,37,3,0,0,2,0
144,Ben Mee,31,England,6,Left,CB,1,5,24,0,3,0,3,0
145,Erik Pieters,32,Netherlands,23,Left,LB,0,5,11,4,0,0,1,0
146,Nick Pope,29,England,1,Right,GK,0,5,39,0,0,0,1,0
147,Connor Roberts,25,Wales,14,Right,RWB,0,5,20,2,1,0,3,0
148,Jay Rodriguez,31,England,19,Right,ST,0,5,17,16,7,0,3,0
149,Dale Stephens,32,England,16,Right,CDM,0,5,2,2,0,0,1,0
150,James Tarkowski,28,England,5,Right,CB,0,5,37,0,1,0,12,0
151,Charlie Taylor,27,England,3,Left,LB,0,5,30,2,0,0,3,0
152,Matej Vydra,29,Czech Republic,27,Right,CF,0,5,7,17,2,0,1,0
153,Wout Weghorst,29,New Zealand,9,Right,ST,0,5,17,3,2,0,3,0
154,Ashley R Westwood,31,England,18,Right,CDM,0,5,28,1,0,0,7,0
155,Chris Wood,29,New Zealand,9,Right,ST,0,5,19,2,3,0,1,0
156,César Azpilicueta,31,Spain,28,Right,CB,1,6,41,6,3,0,4,0
157,Lewis Baker,24,Belgium,34,Right,RM,0,6,0,1,0,0,0,0
158,Ross Barkley,27,England,18,Right,CAM,0,6,4,10,1,0,0,0
159,Marcus Bettinelli,29,England,13,Right,GK,0,6,1,0,0,0,0,0
160,Trevoh Chalobah,21,England,14,Right,CB,0,6,24,6,4,0,3,0
161,Ben Chilwell,24,England,21,Left,LWB,0,6,9,4,3,0,0,0
162,Andreas Christensen,25,Denmark,4,Right,CB,0,6,31,3,2,0,2,0
163,Emerson,23,Portugal,33,Left,CAM,0,6,0,1,0,0,0,0
164,Lewis Hall,24,Germany,75,Right,CB,0,6,1,0,0,0,0,0
165,Kai Havertz,22,Germany,29,Left,CAM,0,6,35,12,14,1,8,0
166,Callum Hudson-Odoi,20,England,20,Right,RW,0,6,22,6,3,0,2,0
167,Reece James,21,England,24,Right,RWB,0,6,31,8,6,0,7,1
168,Jorginho,29,Italy,5,Right,CM,0,6,40,7,9,9,6,0
169,N'Golo Kante,30,France,7,Right,CDM,0,6,31,11,2,0,3,0
170,Kenedy,24,Germany,23,Right,CB,0,6,2,1,0,0,0,0
171,Kepa Arrizabalaga,26,Spain,1,Right,GK,0,6,13,2,0,0,1,0
172,Mateo Kovacic,26,Spain,17,Left,CM,0,6,33,11,2,0,6,0
173,Ruben Loftus-Cheek,25,England,12,Right,RM,0,6,18,22,1,0,3,0
174,Romelu Lukaku,28,Belgium,9,Left,ST,0,6,29,15,15,1,1,0
175,Marcos Alonso,30,Spain,3,Left,LWB,0,6,39,7,5,0,9,0
176,Edouard Mendy,29,Senegal,16,Right,GK,0,6,49,0,0,0,3,0
177,Mason Mount,22,England,19,Right,CAM,0,6,41,12,13,1,4,0
178,Christian Pulisic,22,United States,10,Right,LW,0,6,21,17,8,0,2,0
179,Antonio Rudiger,28,Germany,2,Right,CB,0,6,54,0,5,0,12,0
180,Malang Sarr,22,France,31,Left,CB,0,6,16,5,0,0,4,0
181,Saúl Ñiguez,26,Spain,17,Left,CM,0,6,12,11,1,0,3,0
182,Xavier Simons,26,Ecuador,54,Right,RM,0,6,1,0,0,0,0,0
183,Jude Soonsup-Bell,24,Germany,64,Right,CB,0,6,1,0,0,0,0,0
184,Thiago Silva,36,Brazil,6,Right,CB,0,6,41,7,3,0,3,0
185,Harvey Vale,23,Portugal,68,Left,CAM,0,6,1,4,0,0,1,0
186,Timo Werner,25,Germany,11,Right,ST,0,6,24,13,11,0,1,0
187,Hakim Ziyech,28,Morocco,22,Left,RW,0,6,27,17,8,1,5,0
188,Kurt Zouma,24,Germany,15,Right,CB,0,6,1,0,0,0,0,0
189,Tayo Adaramola,26,France,45,Right,LW,0,7,1,1,0,0,0,0
190,Joachim Andersen,25,Denmark,16,Right,CB,0,7,37,2,0,0,4,0
191,Jordan Ayew,29,Ghana,9,Right,ST,0,7,25,9,3,0,2,0
192,Christian Benteke,30,Belgium,20,Right,ST,0,7,11,20,4,0,3,0
193,Jack Butland,28,England,1,Right,GK,0,7,14,1,0,0,1,0
194,Nathaniel Clyne,30,England,17,Right,RB,0,7,17,3,0,0,1,0
195,Odsonne Edouard,23,France,22,Right,ST,0,7,18,13,6,1,4,0
196,Ebere Eze,23,Portugal,25,Left,CAM,0,7,10,7,1,0,1,0
197,Nathan Ferguson,20,England,36,Right,RB,0,7,0,1,0,0,0,0
198,Conor Gallagher,21,England,23,Right,CM,0,7,37,2,8,0,12,0
199,Vicente Guaita,34,Spain,13,Right,GK,0,7,30,0,0,0,2,0
200,Marc Guehi,20,England,6,Right,CB,0,7,42,0,4,0,4,0
201,Will Hughes,26,England,12,Left,CM,0,7,15,5,1,0,6,0
202,Martin Kelly,31,England,34,Right,CB,0,7,1,0,0,0,0,0
203,Cheikhou Kouyate,31,Senegal,8,Right,CB,0,7,27,4,1,0,3,0
204,Jean-Philippe Mateta,24,France,14,Right,ST,0,7,19,9,7,0,2,0
205,James McArthur,33,Scotland,18,Right,CM,0,7,16,7,0,0,4,0
206,Luka Milivojevic,30,Serbia,4,Right,CDM,1,7,10,10,0,0,1,0
207,Tyrick Mitchell,21,England,3,Left,LB,0,7,39,2,0,0,1,0
208,Michael Olise,19,France,7,Left,CAM,0,7,16,15,4,0,4,0
209,Jesuran Rak-Sakyi,18,England,49,Left,RW,0,7,1,1,0,0,0,0
210,Jaïro Riedewald,24,Netherlands,44,Left,CDM,0,7,1,4,1,0,0,0
211,Jeffrey Schlupp,28,Ghana,15,Left,LM,0,7,24,13,4,0,3,0
212,James Tomkins,32,England,5,Right,CB,0,7,7,2,1,0,2,0
213,Joel Ward,31,England,2,Right,RB,0,7,31,1,0,0,8,0
214,Wilfried Zaha,28,Côte d'Ivoire,11,Right,CF,0,7,35,2,15,5,4,1
215,Allan,30,Brazil,6,Right,CDM,0,8,28,3,0,0,7,1
216,Dele Alli,31,Spain,36,Right,ST,0,8,1,10,0,0,3,0
217,André Gomes,27,Portugal,21,Right,CM,0,8,11,8,1,0,6,0
218,Asmir Begović,34,Bosnia and Herzegovina,15,Right,GK,0,8,7,0,0,0,0,0
219,Jarrad Branthwaite,19,England,32,Right,CB,0,8,6,2,1,0,0,1
220,Dominic Calvert-Lewin,24,England,9,Right,ST,0,8,15,3,5,2,2,0
221,Cenk Tosun,30,Turkey,28,Right,ST,0,8,0,3,0,0,0,0
222,Seamus Coleman,32,Republic of Ireland,23,Right,RB,1,8,33,1,1,0,4,0
223,Tom Davies,23,England,26,Right,CM,0,8,4,4,1,0,1,0
224,Fabian Delph,31,England,8,Left,CDM,0,8,8,3,0,0,2,0
225,Lucas Digne,27,France,12,Left,LB,0,8,14,1,1,0,4,0
226,Lewis Dobbin,24,Germany,61,Right,CB,0,8,0,5,0,0,1,0
227,Abdoulaye Doucoure,28,France,16,Right,CM,0,8,31,3,2,0,6,0
228,Anwar El Ghazi,26,Belgium,34,Right,RB,0,8,0,2,0,0,0,0
229,Jean-Philippe Gbamin,25,Côte d'Ivoire,25,Right,CDM,0,8,2,3,0,0,0,0
230,Ben Godfrey,23,England,22,Right,CB,0,8,27,0,0,0,7,0
231,Anthony Gordon,26,Belgium,24,Right,RB,0,8,30,10,4,0,6,0
232,Demarai Gray,25,England,11,Right,LW,0,8,30,9,6,0,3,0
233,Mason Holgate,24,England,4,Right,CB,0,8,27,2,3,0,7,1
234,Alex Iwobi,25,Nigeria,17,Right,RM,0,8,24,8,3,0,1,0
235,Moise Kean,26,Northern Ireland,27,Right,LM,0,8,1,1,0,0,0,1
236,Michael Keane,28,England,5,Right,CB,0,8,36,2,3,0,2,1
237,Jonjoe Kenny,24,England,2,Right,RB,0,8,16,5,0,0,1,1
238,Yerry Mina,26,Colombia,13,Right,CB,0,8,11,3,1,0,3,0
239,Vitaliy Mykolenko,29,Colombia,19,Left,RW,0,8,15,1,1,0,1,0
240,Niels Nkounkou,26,Northern Ireland,18,Right,LM,0,8,1,0,0,0,0,0
241,Tyler Onyango,26,France,62,Right,LW,0,8,0,3,0,0,0,0
242,Nathan Patterson,26,Northern Ireland,3,Right,LM,0,8,1,0,0,0,0,0
243,Jordan Pickford,27,England,1,Left,GK,0,8,37,0,0,0,2,0
244,Isaac Price,23,Portugal,60,Left,CAM,0,8,0,2,0,0,0,0
245,Richarlison,24,Brazil,7,Right,ST,0,8,30,3,11,3,8,0
246,Salomon Rondon,31,Venezuela,33,Right,ST,0,8,11,12,3,0,2,1
247,Ellis Simms,20,England,50,Right,ST,0,8,1,0,0,0,0,0
248,Andros Townsend,29,England,14,Left,RM,0,8,21,6,7,1,3,0
249,Donny van de Beek,23,Portugal,30,Left,CAM,0,8,5,2,1,0,1,0
250,Reece Welch,26,France,64,Right,LW,0,8,0,1,0,0,0,0
251,Luke Ayling,29,England,2,Right,RB,0,9,27,1,2,0,4,1
252,Patrick Bamford,27,England,9,Left,ST,0,9,7,3,2,0,2,0
253,Lewis Bate,18,England,26,Right,RM,0,9,2,2,0,0,0,0
254,Liam Cooper,29,Scotland,6,Left,CB,1,9,21,1,0,0,5,0
255,Charlie Cresswell,18,England,35,Right,CB,0,9,2,4,0,0,1,0
256,Stuart Dallas,30,Northern Ireland,15,Right,CM,0,9,36,1,1,0,5,0
257,Cody Drameh,19,England,37,Right,RB,0,9,2,3,0,0,2,0
258,Adam Forshaw,29,England,4,Right,CM,0,9,19,7,0,0,5,0
259,Joe Gelhardt,19,England,30,Left,ST,0,9,5,17,2,0,4,0
260,Sam Greenwood,19,England,42,Right,CF,0,9,2,7,0,0,0,0
261,Jack Harrison,24,England,22,Left,LM,0,9,35,3,10,0,3,0
262,Helder Costa,23,Portugal,17,Left,CAM,0,9,1,1,0,0,0,0
263,Leo Hjelde,24,Germany,33,Right,CB,0,9,1,2,0,0,0,0
264,Daniel James,23,Wales,20,Right,RM,0,9,32,3,4,0,7,1
265,Junior Firpo,24,Spain,3,Left,LB,0,9,22,5,0,0,11,0
266,Kristoffer Klaesson,20,Norway,13,Left,GK,0,9,0,1,0,0,0,0
267,Mateusz Klich,31,Poland,43,Right,CM,0,9,28,9,1,0,5,0
268,Robin Koch,24,Germany,5,Right,CB,0,9,18,3,0,0,3,0
269,Diego Llorente,27,Spain,14,Right,CB,0,9,31,0,3,0,7,0
270,Liam McCarron,20,Scotland,45,Left,LB,0,9,0,1,0,0,0,0
271,Stuart McKinstry,26,France,39,Right,LW,0,9,0,2,0,0,0,0
272,Illan Meslier,21,France,1,Left,GK,0,9,42,0,0,0,2,0
273,Kalvin Phillips,25,England,23,Right,CDM,0,9,21,2,1,0,4,0
274,Raphinha,24,Brazil,10,Left,RM,0,9,34,2,11,4,7,0
275,Tyler Roberts,22,Wales,11,Right,CAM,0,9,10,16,1,0,6,0
276,Rodrigo,30,Spain,19,Left,CAM,0,9,30,4,6,1,9,0
277,Jamie Shackleton,21,England,46,Right,CM,0,9,9,7,0,0,4,0
278,Pascal Struijk,21,Netherlands,21,Left,CB,0,9,24,7,1,0,6,1
279,Crysencio Summerville,19,Netherlands,38,Right,RM,0,9,1,8,0,0,1,0
280,Marc Albrighton,31,England,11,Right,RM,0,10,20,11,3,0,5,0
281,Will Alves,26,Ecuador,77,Right,RM,0,10,0,1,0,0,0,0
282,Daniel Amartey,26,Ghana,18,Right,CB,0,10,34,6,1,0,4,0
283,Harvey Barnes,23,England,7,Right,LM,0,10,38,10,11,0,2,0
284,Ryan Bertrand,31,England,5,Left,LB,0,10,9,2,0,0,2,0
285,Lewis Brunt,24,Germany,62,Right,CB,0,10,1,1,0,0,0,0
286,Caglar Soyuncu,25,Turkey,4,Right,CB,0,10,40,1,1,0,6,0
287,Timothy Castagne,25,Belgium,27,Right,RB,0,10,30,6,1,0,2,0
288,Hamza Choudhury,23,England,20,Right,CDM,0,10,6,6,0,0,1,0
289,Patson Daka,22,Zambia,29,Right,ST,0,10,22,16,11,0,2,0
290,Vontae Daley-Campbell,20,England,38,Right,RB,0,10,2,0,0,0,1,0
291,Kiernan Dewsbury-Hall,22,England,22,Left,CM,0,10,35,9,3,0,5,0
292,Jonny Evans,33,Northern Ireland,6,Right,CB,1,10,25,2,2,0,3,0
293,Wesley Fofana,20,France,3,Right,CB,0,10,12,0,1,0,3,0
294,Kelechi Iheanacho,24,Nigeria,14,Left,ST,0,10,22,21,8,1,3,0
295,James Justin,23,England,2,Right,LWB,0,10,15,4,0,0,0,0
296,Ademola Lookman,25,Nigeria,37,Right,LW,0,10,25,17,8,0,2,0
297,James Maddison,24,England,10,Right,CAM,0,10,40,13,18,0,7,0
298,Wanya Marçal-Madivádua,26,Ecuador,54,Right,RM,0,10,0,1,0,0,0,0
299,Kasey McAteer,24,Germany,49,Right,CB,0,10,0,2,0,0,0,0
300,Nampalys Mendy,29,Senegal,24,Right,CDM,0,10,12,3,0,0,4,0
301,Wilfred Ndidi,24,Nigeria,25,Right,CDM,0,10,29,2,2,0,6,1
302,Ayoze Pérez,27,Spain,17,Right,RW,0,10,11,14,3,0,0,1
303,Ricardo Pereira,27,Portugal,21,Right,RB,0,10,20,4,2,0,4,0
304,Kasper Schmeichel,34,Denmark,1,Right,GK,0,10,53,0,0,0,1,0
305,Boubakary Soumaré,22,France,42,Right,CDM,0,10,18,12,0,0,2,0
306,Luke Thomas,20,England,33,Left,LWB,0,10,31,2,0,0,5,0
307,Youri Tielemans,24,Belgium,8,Right,CM,0,10,46,4,7,3,4,0
308,Jamie Vardy,34,England,9,Right,ST,0,10,25,8,17,0,3,0
309,Jannik Vestergaard,28,Denmark,23,Right,CB,0,10,12,8,0,0,4,0
310,Danny Ward,28,Wales,12,Right,GK,0,10,5,0,0,0,0,0
311,Adrián,34,Spain,13,Right,GK,0,11,1,0,0,0,0,0
312,Trent Alexander-Arnold,22,England,66,Right,RB,0,11,46,0,2,0,5,0
